OneForAll,000012,5.0,สินค้าดีมากตรงตามปกทุกอย่างเลย
OneForAll,000006,3.0,สินค้าดีมากแต่ว่าใช้งานได้ไม่ตรงตามที่กล่าวไว้เท่าไหร่
OneForAll,997761,5.0,ดีมากใช้งานได้ดีจริงๆ
KittyCat123,000031,5.0,สินค้าน่ารักมากเลยค่ะ
IronManZaa007,000026,2.0,สินค้าไม่ค่อยดีเท่าไหร่ ใช้งานได้ไม่นานเครื่องก็ดับ
IronManZaa007,000024,5.0,สินค้าตรงตามปก สวยมากๆครับ
IronManZaa007,544001,5.0,ราคาค่อนข้างโอเคและวัสดุที่ใช้แข็งแรงดี
IronManZaa007,000018,1.0,สินค้ากันกระสุนได้ไม่จริงตามที่บอกเลยครับ
IronManZaa007,684569,1.0,วัสดุไม่แข็งแรงทนทานเลยครับแปปเดียวปีกหักแล้ว
หญิงเอง,688004,5.0,สวยมากเลยค่ะ ชอบมากๆ
